Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
1,8761,2502,1195
2,8474,2420,1156
3,8336,2380,1136
4,8275,2364,1128
5,8330,2379,1136
6,8557,2444,1166
7,8959,2559,1222
8,9399,2684,1282
9,9982,2850,1361
10,10341,2953,1410
11,10483,2994,1429
12,10481,2993,1428
13,10418,2975,1420
14,10339,2953,1409
15,10308,2944,1405
16,10326,2949,1408
17,10808,3086,1474
18,11527,3292,1571
19,11531,3293,1572
20,11320,3233,1544
21,10905,3115,1487
22,10222,2920,1393
23,9458,2701,1289
24,8683,2479,1184
25,8126,2321,1108
26,7842,2239,1069
27,7727,2207,1054
28,7733,2209,1055
29,7973,2277,1087
30,8704,2485,1186
31,10034,2865,1368
32,10781,3079,1469
33,10942,3126,1492
34,11033,3151,1504
35,11119,3176,1516
36,11103,3170,1514
37,10996,3140,1499
38,10921,3119,1489
39,10803,3085,1473
40,10808,3086,1474
41,11301,3227,1540
42,12019,3432,1639
43,11919,3404,1625
44,11541,3296,1574
45,10997,3140,1499
46,10197,2912,1390
47,9194,2625,1253
48,8285,2366,1130
49,7707,2201,1050
50,7341,2097,1000
51,7162,2045,976
52,7116,2032,970
53,7319,2090,998
54,7994,2283,1090
55,9337,2666,1273
56,10078,2878,1374
57,10153,2900,1384
58,10111,2888,1378
59,10123,2891,1380
60,10081,2879,1374
61,9965,2846,1358
62,9889,2825,1348
63,9783,2794,1333
64,9791,2796,1335
65,10281,2936,1402
66,11182,3194,1525
67,11192,3196,1526
68,10926,3120,1489
69,10493,2997,1430
70,9776,2792,1332
71,8880,2536,1211
72,8042,2297,1096
73,7503,2143,1023
74,7232,2065,986
75,7111,2031,969
76,7117,2033,970
77,7346,2098,1001
78,8087,2309,1102
79,9490,2710,1294
80,10273,2934,1401
81,10338,2952,1409
82,10396,2969,1418
83,10443,2982,1424
84,10416,2975,1420
85,10312,2945,1406
86,10256,2929,1398
87,10138,2895,1383
88,10122,2891,1380
89,10578,3021,1442
90,11573,3306,1578
91,11640,3325,1587
92,11375,3249,1551
93,10958,3130,1494
94,10211,2916,1392
95,9243,2639,1260
96,8385,2394,1143
97,7825,2235,1067
98,7539,2153,1028
99,7404,2114,1010
100,7398,2113,1009
101,7632,2180,1040
102,8343,2383,1137
103,9737,2780,1328
104,10482,2994,1429
105,10532,3008,1436
106,10500,2999,1432
107,10474,2991,1428
108,10405,2972,1418
109,10322,2948,1407
110,10314,2945,1406
111,10285,2937,1402
112,10364,2960,1413
113,10868,3104,1482
114,11660,3330,1590
115,11630,3321,1585
116,11361,3245,1549
117,10911,3116,1488
118,10191,2910,1389
119,9244,2640,1260
120,8396,2398,1145
121,7822,2234,1066
122,7494,2140,1021
123,7343,2097,1001
124,7289,2082,994
125,7482,2137,1020
126,8142,2325,1110
127,9388,2681,1280
128,10233,2922,1395
129,10494,2997,1431
130,10665,3046,1454
131,10780,3079,1469
132,10817,3089,1474
133,10743,3068,1464
134,10657,3044,1453
135,10516,3003,1434
136,10468,2990,1427
137,10788,3081,1471
138,11254,3214,1535
139,11088,3167,1512
140,10715,3060,1461
141,10312,2945,1406
142,9767,2790,1332
143,9041,2582,1232
144,8305,2372,1132
145,7713,2203,1051
146,7356,2101,1003
147,7174,2048,978
148,7106,2029,969
149,7170,2048,978
150,7470,2134,1019
151,7989,2282,1089
152,8543,2439,1165
153,9129,2607,1245
154,9504,2715,1296
155,9671,2762,1318
156,9578,2735,1306
157,9397,2684,1281
158,9152,2614,1247
159,9002,2571,1227
160,9005,2572,1227
161,9435,2694,1287
162,10341,2953,1410
163,10416,2975,1420
164,10112,2888,1378
165,9802,2800,1337
166,9331,2665,1272
167,8730,2493,1190
168,8088,2310,1103
169,7490,2138,1021
170,7210,2059,983
171,7059,2016,962
172,7011,2003,956
173,7070,2019,964
174,7293,2083,994
175,7609,2173,1037
176,8012,2288,1092
177,8538,2439,1164
178,8900,2542,1213
179,9034,2580,1232
180,9054,2585,1234
181,8953,2557,1221
182,8781,2508,1197
183,8625,2463,1176
184,8611,2459,1174
185,8917,2547,1216
186,9775,2791,1332
187,10295,2940,1403
188,10076,2878,1373
189,9756,2786,1330
190,9251,2642,1261
191,8620,2462,1175
192,8004,2286,1091
193,7591,2168,1035
194,7349,2099,1002
195,7210,2059,983
196,7233,2066,986
197,7428,2121,1013
198,7961,2274,1085
199,8744,2497,1192
200,9347,2670,1274
201,9828,2807,1340
202,10129,2893,1381
203,10263,2931,1399
204,10228,2921,1394
205,10062,2874,1372
206,9882,2822,1348
207,9738,2781,1328
208,9696,2769,1322
209,9990,2853,1362
210,10862,3102,1481
211,11318,3232,1543
212,11040,3153,1505
213,10615,3031,1447
214,9962,2845,1358
215,9128,2607,1244
216,8372,2391,1141
217,7888,2253,1075
218,7640,2182,1041
219,7545,2154,1029
220,7585,2166,1034
221,7831,2236,1068
222,8541,2439,1165
223,9651,2756,1316
224,10291,2939,1403
225,10491,2996,1430
226,10481,2993,1428
227,10455,2986,1425
228,10351,2956,1411
229,10191,2910,1389
230,10110,2888,1378
231,10039,2867,1368
232,10042,2868,1369
233,10338,2952,1409
234,11123,3176,1516
235,11418,3260,1557
236,11097,3169,1513
237,10601,3027,1445
238,9885,2823,1348
239,8968,2561,1222
240,8153,2329,1111
241,7599,2170,1036
242,7284,2080,993
243,7147,2041,974
244,7125,2035,971
245,7333,2094,999
246,7991,2282,1090
247,9047,2584,1233
248,9732,2780,1327
249,9950,2842,1357
250,9972,2848,1359
251,10004,2857,1364
252,9950,2842,1357
253,9807,2801,1337
254,9709,2773,1323
255,9560,2730,1303
256,9469,2704,1291
257,9656,2758,1317
258,10381,2965,1415
259,10819,3090,1475
260,10562,3016,1440
261,10151,2900,1384
262,9508,2715,1296
263,8638,2467,1177
264,7846,2241,1070
265,7303,2086,995
266,6999,1999,954
267,6838,1953,932
268,6820,1948,929
269,7001,1999,954
270,7652,2185,1043
271,8744,2497,1192
272,9451,2699,1288
273,9760,2787,1331
274,9924,2835,1353
275,9981,2850,1361
276,9974,2849,1360
277,9877,2820,1347
278,9772,2790,1332
279,9652,2756,1316
280,9540,2725,1301
281,9671,2762,1318
282,10355,2957,1412
283,10836,3095,1477
284,10620,3033,1448
285,10217,2918,1393
286,9588,2738,1307
287,8742,2497,1191
288,7977,2279,1087
289,7457,2129,1016
290,7157,2044,975
291,7019,2004,957
292,7027,2007,958
293,7231,2065,985
294,7861,2245,1071
295,8911,2545,1215
296,9703,2771,1322
297,10187,2910,1388
298,10441,2982,1424
299,10613,3031,1447
300,10669,3047,1454
301,10604,3028,1445
302,10565,3017,1440
303,10490,2995,1430
304,10443,2983,1424
305,10639,3039,1450
306,11072,3162,1509
307,11096,3169,1513
308,10745,3069,1465
309,10289,2939,1403
310,9690,2767,1321
311,8930,2550,1217
312,8178,2335,1115
313,7621,2177,1039
314,7287,2081,994
315,7110,2030,969
316,7044,2012,960
317,7131,2037,972
318,7410,2116,1010
319,7828,2235,1067
320,8316,2374,1134
321,8903,2543,1214
322,9358,2672,1276
323,9582,2736,1307
324,9587,2738,1307
325,9485,2709,1293
326,9318,2661,1270
327,9195,2626,1253
328,9175,2620,1251
329,9422,2690,1284
330,10096,2884,1377
331,10560,3015,1439
332,10326,2949,1408
333,9995,2855,1363
334,9553,2728,1302
335,8922,2549,1216
336,8318,2375,1134
337,6488,1853,884
338,6220,1776,848
339,6097,1741,831
340,6095,1741,831
341,6305,1801,859
342,7009,2002,955
343,8321,2376,1135
344,9087,2595,1239
345,9303,2657,1268
346,9426,2692,1285
347,9581,2736,1306
348,9660,2759,1317
349,9664,2760,1318
350,9701,2770,1322
351,9625,2749,1312
352,9513,2717,1297
353,9440,2696,1287
354,9438,2695,1287
355,9510,2716,1297
356,10034,2865,1368
357,9803,2800,1337
358,9053,2585,1234
359,8084,2309,1102
360,7222,2063,984
361,6657,1901,908
362,6364,1818,868
363,6229,1779,849
364,6188,1767,843
365,6383,1823,870
366,7038,2010,959
367,8316,2375,1134
368,9058,2587,1235
